symbol	date	error_type	error_code
AIRR.DV.X	2020-01-31	no data	
AIRR.EU.X	2020-01-31	no data	
AIRR.IV.X	2020-01-31	no data	
AIRR.NV.X	2020-01-31	no data	
AIRR.SO.X	2020-01-31	no data	
AIRR.TC.X	2020-01-31	no data	
AIRRF	2020-01-31	no data	
AISLF	2020-01-31	low data size	
AISSF	2020-01-31	no data	
AITA	2020-01-31	no data	
AITUF	2020-01-31	response error	503
AITVF	2020-01-31	low data size	
AITX	2020-01-31	no data	
AIVI	2020-01-31	no data	
AIVTF	2020-01-31	no data	
AIW	2020-01-31	no data	
AIXN	2020-01-31	low data size	
AIXXF	2020-01-31	low data size	
AIZP	2020-01-31	no data	
AJBI	2020-01-31	no data	
AJIA	2020-01-31	no data	
AJINF	2020-01-31	low data size	
AJISF	2020-01-31	no data	
AJLGF	2020-01-31	low data size	
AJMPF	2020-01-31	low data size	
AJX	2020-01-31	no data	
AJXA	2020-01-31	no data	
AKAAF	2020-01-31	low data size	
AKABY	2020-01-31	no data	
AKAOQ	2020-01-31	response error	503
AKBIF	2020-01-31	low data size	
AKBIY	2020-01-31	no data	
AKBLF	2020-01-31	low data size	
AKCPF	2020-01-31	low data size	
AKEJF	2020-01-31	no data	
AKMNF	2020-01-31	no data	
AKOM	2020-01-31	response error	503
AKRFF	2020-01-31	no data	
AKRRF	2020-01-31	no data	
AKRTF	2020-01-31	no data	
AKRYY	2020-01-31	no data	
AKSJF	2020-01-31	no data	
AKTAF	2020-01-31	low data size	
AL	2020-01-31	no data	
AL-A	2020-01-31	response error	503
ALABF	2020-01-31	response error	503
ALACF	2020-01-31	no data	
ALARF	2020-01-31	no data	
ALBBY	2020-01-31	no data	
ALBHF	2020-01-31	no data	
ALBKF	2020-01-31	low data size	
ALC	2020-01-31	response error	503
ALCCF	2020-01-31	no data	
ALCGF	2020-01-31	response error	503
ALCN	2020-01-31	low data size	
ALDA	2020-01-31	no data	
ALDS	2020-01-31	response error	503
ALDVF	2020-01-31	low data size	
ALEAF	2020-01-31	no data	
ALEDY	2020-01-31	no data	
ALEX	2020-01-31	no data	
ALFA	2020-01-31	no data	
ALFC	2020-01-31	response error	503
ALFDF	2020-01-31	response error	503
ALFVF	2020-01-31	low data size	
ALFVY	2020-01-31	low data size	
ALGDF	2020-01-31	no data	
ALGGF	2020-01-31	no data	
ALGGY	2020-01-31	no data	
ALGWF	2020-01-31	no data	
ALGXY	2020-01-31	no data	
ALHHF	2020-01-31	no data	
ALID	2020-01-31	response error	503
ALITF	2020-01-31	low data size	
ALIWF	2020-01-31	no data	
ALIZF	2020-01-31	low data size	
ALKEF	2020-01-31	low data size	
ALKHF	2020-01-31	no data	
ALKM	2020-01-31	no data	
ALL-A	2020-01-31	no data	
ALL-B	2020-01-31	no data	
ALL-D	2020-01-31	no data	
ALL-E	2020-01-31	no data	
ALL-F	2020-01-31	no data	
ALL-G	2020-01-31	no data	
ALL-H	2020-01-31	response error	503
ALLDF	2020-01-31	no data	
ALLE	2020-01-31	no data	
ALLEUR.COMP	2020-01-31	no data	
ALLEUR.EUAM	2020-01-31	no data	
ALLGF	2020-01-31	no data	
